id,ballot_hash,previous_ballot_hash,election,valid
0f8b5f3e-4e58-4c2d-84f9-88f929ad43f1,b4d9d5f8-4e58-4c2d-84f9-88f929ad43f1,,9d9eb7d5-42a0-4b65-a7ac-681d08b67e7c,True
ba110001-0000-0000-0000-000000000001,ba110001-1111-1111-1111-111111111111,,9d9eb7d5-42a0-4b65-a7ac-681d08b67e7c,True
ba110001-0000-0000-0000-000000000002,ba110001-2222-2222-2222-222222222222,,9d9eb7d5-42a0-4b65-a7ac-681d08b67e7c,True
ba110001-0000-0000-0000-000000000003,ba110001-3333-3333-3333-333333333333,,9d9eb7d5-42a0-4b65-a7ac-681d08b67e7c,True
ba110001-0000-0000-0000-000000000004,ba110001-4444-4444-4444-444444444444,,9d9eb7d5-42a0-4b65-a7ac-681d08b67e7c,True
1b0c8502-b6b6-4dff-b5bc-d2e3401c262d,b474b81b-b264-4411-b1f7-57e9d6c9e437,,b474b81b-b264-4411-b1f7-57e9d6c9e437,True
ba120001-0000-0000-0000-000000000001,ba120001-1111-1111-1111-111111111111,,b474b81b-b264-4411-b1f7-57e9d6c9e437,True
ba120001-0000-0000-0000-000000000002,ba120001-2222-2222-2222-222222222222,,b474b81b-b264-4411-b1f7-57e9d6c9e437,True
ba120001-0000-0000-0000-000000000003,ba120001-3333-3333-3333-333333333333,,b474b81b-b264-4411-b1f7-57e9d6c9e437,True
ba130001-0000-0000-0000-000000000001,ba130001-1111-1111-1111-111111111111,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba130001-0000-0000-0000-000000000002,ba130001-2222-2222-2222-222222222222,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba130001-0000-0000-0000-000000000003,ba130001-3333-3333-3333-333333333333,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba130001-0000-0000-0000-000000000004,ba130001-4444-4444-4444-444444444444,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba130001-0000-0000-0000-000000000005,ba130001-5555-5555-5555-555555555555,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba130001-0000-0000-0000-000000000006,ba130001-6666-6666-6666-666666666666,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba130001-0000-0000-0000-000000000007,ba130001-7777-7777-7777-777777777777,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba130001-0000-0000-0000-000000000008,ba130001-8888-8888-8888-888888888888,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba130001-0000-0000-0000-000000000009,ba130001-9999-9999-9999-999999999999,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba130001-0000-0000-0000-000000000010,ba130001-aaaa-aaaa-aaaa-aaaaaaaaaaaa,,a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,True
ba140001-0000-0000-0000-000000000001,ba140001-1111-1111-1111-111111111111,,f6e5d4c3-b2a1-4c5d-9e8f-7a6b5c4d3e2f,True
ba140001-0000-0000-0000-000000000002,ba140001-2222-2222-2222-222222222222,,f6e5d4c3-b2a1-4c5d-9e8f-7a6b5c4d3e2f,True
ba140001-0000-0000-0000-000000000003,ba140001-3333-3333-3333-333333333333,,f6e5d4c3-b2a1-4c5d-9e8f-7a6b5c4d3e2f,True
ba140001-0000-0000-0000-000000000004,ba140001-4444-4444-4444-444444444444,,f6e5d4c3-b2a1-4c5d-9e8f-7a6b5c4d3e2f,True
ba140001-0000-0000-0000-000000000005,ba140001-5555-5555-5555-555555555555,,f6e5d4c3-b2a1-4c5d-9e8f-7a6b5c4d3e2f,True
ba140001-0000-0000-0000-000000000006,ba140001-6666-6666-6666-666666666666,,f6e5d4c3-b2a1-4c5d-9e8f-7a6b5c4d3e2f,True
ba140001-0000-0000-0000-000000000007,ba140001-7777-7777-7777-777777777777,,f6e5d4c3-b2a1-4c5d-9e8f-7a6b5c4d3e2f,True
ba140001-0000-0000-0000-000000000008,ba140001-8888-8888-8888-888888888888,,f6e5d4c3-b2a1-4c5d-9e8f-7a6b5c4d3e2f,True
ba150001-0000-0000-0000-000000000001,ba150001-1111-1111-1111-111111111111,,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,True
ba150001-0000-0000-0000-000000000002,ba150001-2222-2222-2222-222222222222,,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,True
ba150001-0000-0000-0000-000000000003,ba150001-3333-3333-3333-333333333333,,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,True
ba150001-0000-0000-0000-000000000004,ba150001-4444-4444-4444-444444444444,,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,True
ba150001-0000-0000-0000-000000000005,ba150001-5555-5555-5555-555555555555,,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,True
ba150001-0000-0000-0000-000000000006,ba150001-6666-6666-6666-666666666666,,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,True
ba150001-0000-0000-0000-000000000007,ba150001-7777-7777-7777-777777777777,,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,True
ba150001-0000-0000-0000-000000000008,ba150001-8888-8888-8888-888888888888,,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,True
ba150001-0000-0000-0000-000000000009,ba150001-9999-9999-9999-999999999999,,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,True
